t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
4036,0,2256,3198,2920,2771,3010,2.25,11.80,5.00,-0.78,0.28,0.21
4056,0,2273,3197,2919,2770,3010,2.03,11.31,5.42,-0.74,0.13,0.50
4076,0,2260,3195,2920,2775,3002,1.41,10.12,5.37,-0.82,0.07,0.74
4096,0,2251,3197,2919,2773,3005,1.12,9.35,5.14,-1.03,0.14,0.77
4116,0,2256,3199,2924,2767,3005,0.64,8.81,4.73,-1.21,0.20,0.66
4136,0,2242,3194,2921,2764,3003,0.33,8.13,4.39,-1.12,0.18,0.51
4156,0,2244,3196,2915,2763,3006,0.17,7.97,4.38,-0.64,0.23,0.44
4176,0,2241,3190,2917,2762,3009,0.26,7.87,4.39,-0.19,0.12,0.50
4196,0,2212,3187,2915,2759,3008,0.28,7.92,4.51,0.05,0.17,0.57
4216,0,2192,3185,2906,2763,3007,0.27,7.73,4.75,-0.09,0.17,0.56
4236,0,2181,3181,2909,2762,3008,0.48,7.49,4.67,-0.35,0.19,0.47
4256,0,2162,3181,2906,2773,3007,0.61,7.23,4.77,-0.36,0.28,0.31
4276,0,2038,3176,2903,2763,3011,0.43,7.65,5.01,-0.46,0.31,0.20
4296,0,1705,3172,2885,2759,3002,0.51,7.49,5.66,-0.18,0.20,0.26
4316,0,1482,3167,2870,2757,3012,0.29,8.39,5.96,-0.28,0.03,0.43
4336,0,824,3152,2813,2730,3007,1.22,8.83,5.83,-0.31,0.41,0.21
4356,0,0,3148,2804,2705,2994,1.77,7.97,5.40,-0.74,0.63,0.35
4376,0,269,3142,2714,2676,2978,1.39,8.04,5.43,-0.48,0.88,0.51
4396,0,4,3129,2682,2613,2943,0.88,8.75,5.48,-0.54,1.03,0.49
4416,0,0,3113,2597,2538,2867,0.23,11.32,13.76,0.20,1.24,0.82
4436,0,1,3104,2552,2402,2761,1.20,9.32,7.82,-0.60,1.67,0.43
4456,0,3,3073,2379,2229,2578,2.22,9.53,6.72,-0.24,1.90,0.48
4476,0,6,3004,2234,2026,2261,1.88,14.03,4.47,-0.53,2.59,0.71
4496,0,0,2850,1813,1549,1805,2.13,11.53,6.06,2.17,0.94,1.76
4516,0,3,2618,694,500,540,2.60,12.60,8.89,2.80,0.33,2.42
4536,0,0,2002,500,1619,0,4.62,15.41,10.02,1.70,0.62,2.51
4556,0,1,1,462,1590,491,4.57,16.20,9.30,0.42,1.52,2.83
4576,0,2,0,439,1486,94,3.70,16.02,9.70,-0.43,1.19,3.04
4596,0,1,4,441,1646,0,4.26,14.53,10.18,-1.23,0.96,3.06
4616,0,2,0,281,1665,641,4.33,12.36,9.47,-1.67,0.83,3.03
4636,0,4,271,579,1951,1029,3.59,13.23,11.85,-1.85,0.42,3.22
4656,0,122,1425,735,2021,215,4.01,12.11,12.13,-4.11,2.17,2.81
4676,0,109,974,970,2016,11,3.22,11.15,7.87,-4.37,2.02,2.39
4696,0,68,1269,855,2023,4,-1.58,2.78,22.06,-4.37,0.44,2.84
4716,0,355,1750,830,2011,1,1.21,6.59,4.92,-3.02,-0.44,3.32
4736,0,377,1745,1179,1939,0,1.72,4.67,5.64,-1.87,-2.16,3.58
4756,0,511,1601,1424,1877,1,2.39,4.40,4.46,-0.92,-3.06,3.83
4776,0,501,1475,1136,1751,0,2.47,3.75,6.66,-0.66,-3.54,3.90
4796,0,363,1564,1080,1714,1,1.62,3.96,2.94,-1.46,-3.42,3.84
4816,0,418,1609,1041,1154,6,3.29,2.95,3.59,-1.97,-2.74,3.38
4836,0,437,1642,957,1093,4,3.26,0.44,5.39,-2.01,-2.04,3.07
4856,0,414,1581,873,482,0,3.62,-0.71,4.60,-2.84,-1.63,2.66
4876,0,390,1346,764,474,11,3.87,-1.09,2.15,-3.71,-2.13,2.18
4896,0,409,1156,748,1,0,4.26,-0.97,4.20,-3.70,-1.98,1.92
4916,0,411,1118,774,9,1,6.93,-7.92,-1.26,-2.25,-0.36,1.69
4936,0,424,1086,845,0,0,4.62,-1.55,3.88,-2.61,0.12,0.95
4956,0,424,1073,637,0,1,5.11,-4.51,2.25,-1.14,-1.03,1.36
4976,0,401,1123,378,0,0,4.95,-3.11,3.06,-0.47,-0.39,1.34
4996,0,507,1108,0,5,2,5.15,-3.71,2.06,-0.87,-0.22,1.09
5016,0,610,1006,0,3,0,4.83,-4.70,2.35,-1.11,-0.10,0.90
5036,0,644,989,4,0,2,5.37,-4.45,2.27,-0.94,-0.14,0.74
5056,0,649,950,13,0,0,5.92,-4.42,2.16,-0.74,-0.30,0.46
5076,0,624,1070,0,5,3,5.81,-5.16,1.76,-0.59,-0.25,0.21
5096,0,648,1060,0,4,4,10.97,-5.99,4.03,-0.76,1.22,0.28
5116,0,567,1043,8,0,0,6.26,-6.11,1.90,-0.38,0.50,-0.07
5136,0,589,1105,0,5,0,5.68,-5.62,2.59,-0.12,0.51,-0.01
5156,0,588,1129,10,4,0,5.15,-6.14,3.58,-0.48,0.48,-0.33
5176,0,594,1267,0,0,10,5.57,-5.82,2.73,-0.17,0.26,-0.31
5196,0,582,1263,1,6,4,5.21,-6.12,2.80,-0.03,0.05,-0.48
